model,AIC,BIC,logLik,df_aic,delta_AIC,outcome
null,178147.8457569947,178167.5419220976,-89071.92287849735,2,8942.276491452067,payoff_maximizing_choice
fixed,177329.70567528167,177378.9460880389,-88659.85283764084,5,8124.136409739032,payoff_maximizing_choice
random_slope,172854.63453696386,172913.72303227254,-86421.31726848193,6,3649.065271421219,payoff_maximizing_choice
interaction,172736.4861469999,172815.27080741146,-86360.24307349995,8,3530.916881457262,payoff_maximizing_choice
quadratic_uncorrelated,169511.12015730067,169629.29714791803,-84743.56007865033,12,305.55089175803005,payoff_maximizing_choice
quadratic_correlated,169205.56926554264,169353.29050381432,-84587.78463277132,15,0,payoff_maximizing_choice
null,1199306.047609433,1199335.5918570873,-599650.0238047165,3,12484.395630984567,reward
fixed,1194236.8156521646,1194295.9041474734,-597112.4078260823,6,7415.163673716132,reward
random_slope,1187442.1423740343,1187511.0789518943,-593714.0711870171,7,620.4903955857735,reward
interaction,1186821.6519784485,1186910.2847214115,-593401.8259892242,9,0,reward
null,2250.6596761599985,2280.2039023574885,-1122.3298380799993,3,5945.35759606303,log_rt
fixed,646.8038417237512,705.8922941187315,-317.4019208618756,6,4341.501761626782,log_rt
random_slope,-3694.697919903031,-3625.7613921088873,1854.3489599515156,7,0,log_rt
interaction,-3691.183889437367,-3602.5512108448966,1854.5919447186834,9,3.514030465664291,log_rt
null,155368.96564197284,155388.60343059385,-77682.48282098642,2,8904.255255932017,choice_switch
fixed,149313.67611259935,149362.7705841519,-74651.83805629968,5,2848.9657265585265,choice_switch
random_slope,146489.43237099634,146548.3457368594,-73238.71618549817,6,24.72198495551129,choice_switch
interaction,146464.71038604082,146543.2615405249,-73224.35519302041,8,0,choice_switch
